difficulty,index_1,index_2,chunk_id,partime,has_warpzone,has_pacifier
1,0,0,6,6.250,0,0
1,0,1,7,11.300,0,0
1,0,2,12,7.866,0,0
1,0,3,13,9.200,0,0
1,0,4,24,5.766,0,0
1,0,5,30,7.800,0,0
1,0,6,32,5.933,0,1
1,0,7,36,7.116,1,0
1,0,8,37,10.783,1,0
1,0,9,58,4.583,0,0
1,0,10,63,9.216,0,0
1,0,11,75,10.716,0,0
1,0,12,76,10.100,0,1
1,0,13,85,4.100,0,0
1,0,14,86,9.616,0,0
1,0,15,92,5.633,0,0
2,1,0,2,4.333,0,0
2,1,1,8,4.283,0,0
2,1,2,9,6.216,0,0
2,1,3,23,5.683,0,0
2,1,4,31,8.283,0,0
2,1,5,44,4.183,0,0
2,1,6,47,5.450,0,0
2,1,7,55,2.383,0,0
2,1,8,57,5.933,0,0
2,1,9,60,6.633,0,0
2,1,10,62,8.866,1,1
2,1,11,67,6.200,0,0
2,1,12,70,7.550,0,0
2,1,13,74,5.500,0,0
2,1,14,84,10.333,0,0
2,1,15,93,4.750,0,0
3,2,0,3,5.383,0,0
3,2,1,4,4.117,0,0
3,2,2,5,4.683,0,1
3,2,3,16,10.766,0,0
3,2,4,17,9.016,0,1
3,2,5,18,6.533,0,1
3,2,6,19,4.983,0,0
3,2,7,20,5.250,0,0
3,2,8,22,6.266,0,0
3,2,9,26,5.650,0,0
3,2,10,33,7.100,0,0
3,2,11,40,5.683,0,0
3,2,12,41,10.216,0,1
3,2,13,45,8.433,0,0
3,2,14,48,7.866,0,0
3,2,15,50,3.450,0,0
3,2,16,81,4.816,0,0
3,2,17,90,14.949,0,0
4,3,0,11,8.650,0,0
4,3,1,15,7.033,0,0
4,3,2,25,7.616,0,0
4,3,3,29,7.066,0,0
4,3,4,35,11.166,0,0
4,3,5,39,4.400,0,0
4,3,6,43,4.916,1,0
4,3,7,49,5.316,0,0
4,3,8,52,7.550,0,0
4,3,9,53,3.550,0,0
4,3,10,65,8.716,0,0
4,3,11,73,6.850,0,0
4,3,12,78,5.216,0,0
4,3,13,82,6.216,0,0
4,3,14,87,8.183,0,0
4,3,15,89,7.966,0,0
4,3,16,95,12.033,0,0
4,3,17,97,7.766,0,0
4,3,18,101,12.333,0,0
5,4,0,10,11.700,0,0
5,4,1,21,19.133,0,1
5,4,2,27,6.600,0,0
5,4,3,38,4.883,0,1
5,4,4,46,6.366,0,0
5,4,5,51,10.050,0,0
5,4,6,79,7.100,0,0
5,4,7,80,7.883,0,0
5,4,8,98,10.433,0,0
6,5,0,54,6.150,0,0
6,5,1,56,4.983,0,0
6,5,2,59,7.000,0,0
6,5,3,61,3.500,0,0
6,5,4,66,6.316,0,0
6,5,5,68,7.266,0,1
6,5,6,77,7.650,0,0
6,5,7,83,9.916,0,0
6,5,8,91,15.333,0,0
6,5,9,96,4.700,0,0
7,6,0,14,8.416,0,0
7,6,1,28,4.733,0,0
7,6,2,34,10.866,1,0
7,6,3,42,8.450,0,0
7,6,4,64,8.833,0,0
7,6,5,69,10.433,0,0
7,6,6,71,8.016,0,0
7,6,7,72,11.716,0,0
7,6,8,88,10.316,0,0
7,6,9,94,10.750,0,0
8,7,0,99,5.050,0,0
9,8,0,100,5.600,0,0
