difficulty,index_1,index_2,chunk_id,partime,has_warpzone,has_pacifier
1,0,0,3,4.600,0,0
1,0,1,4,5.866,0,0
1,0,2,5,8.183,0,0
1,0,3,6,13.983,0,0
1,0,4,7,6.283,0,0
1,0,5,9,10.383,0,0
1,0,6,10,7.500,0,0
1,0,7,12,7.533,0,0
1,0,8,13,10.116,0,0
1,0,9,29,7.533,0,0
1,0,10,30,12.016,0,0
1,0,11,41,8.183,0,1
2,1,0,14,11.950,0,0
2,1,1,15,3.383,0,0
2,1,2,16,12.100,0,0
2,1,3,19,10.033,0,0
2,1,4,22,13.366,0,0
2,1,5,25,11.433,0,0
2,1,6,26,20.383,0,0
2,1,7,28,8.316,0,0
2,1,8,35,13.083,0,0
2,1,9,37,5.033,0,0
2,1,10,38,10.583,0,0
2,1,11,46,8.833,0,0
3,2,0,8,7.633,0,0
3,2,1,11,15.416,0,0
3,2,2,17,11.816,1,0
3,2,3,18,6.933,0,0
3,2,4,20,9.166,1,0
3,2,5,23,18.033,0,0
3,2,6,27,14.799,0,1
3,2,7,31,9.533,0,0
3,2,8,32,8.866,0,0
3,2,9,33,14.683,0,1
3,2,10,34,15.966,0,0
3,2,11,55,9.466,0,0
4,3,0,24,18.183,0,0
4,3,1,36,17.583,0,0
4,3,2,42,7.683,0,0
4,3,3,43,16.349,0,1
4,3,4,45,28.799,0,0
4,3,5,52,20.116,0,0
4,3,6,54,11.833,0,0
4,3,7,56,10.800,0,1
4,3,8,59,10.516,0,0
4,3,9,61,12.416,0,1
4,3,10,62,19.033,0,0
4,3,11,65,6.316,0,1
4,3,12,68,13.583,0,0
5,4,0,21,17.799,0,0
5,4,1,39,15.099,0,0
5,4,2,40,14.533,1,0
5,4,3,50,16.016,0,0
5,4,4,66,14.249,0,0
5,4,5,70,11.066,0,0
5,4,6,72,5.516,0,0
6,5,0,47,5.550,0,1
6,5,1,48,15.616,0,0
6,5,2,57,17.583,0,0
6,5,3,58,8.466,0,0
6,5,4,60,23.416,1,0
6,5,5,64,13.349,0,0
6,5,6,71,9.200,0,0
7,6,0,44,27.499,0,0
7,6,1,49,25.382,0,0
7,6,2,51,18.466,0,0
7,6,3,53,10.316,0,1
7,6,4,63,20.099,0,0
7,6,5,67,22.682,1,0
7,6,6,69,9.500,0,1
8,7,0,2,9.816,0,0
