difficulty,index_1,index_2,chunk_id,partime,has_warpzone,has_pacifier
1,0,0,4,9.333,0,0
1,0,1,5,4.450,0,0
1,0,2,6,4.700,1,0
1,0,3,12,4.667,0,0
1,0,4,13,7.166,0,0
1,0,5,16,3.533,0,0
1,0,6,18,4.967,0,0
1,0,7,31,10.533,0,0
1,0,8,33,9.966,0,0
1,0,9,34,6.916,0,0
1,0,10,44,5.750,0,0
2,1,0,3,6.233,0,0
2,1,1,7,10.450,0,0
2,1,2,10,6.033,0,0
2,1,3,26,8.166,0,0
2,1,4,29,10.450,0,0
2,1,5,32,18.266,0,0
2,1,6,35,9.783,0,0
2,1,7,49,12.633,0,0
2,1,8,54,4.917,1,1
2,1,9,55,10.250,0,1
2,1,10,62,12.150,0,0
2,1,11,65,6.616,0,0
3,2,0,11,10.850,0,0
3,2,1,20,8.550,0,0
3,2,2,21,4.850,0,0
3,2,3,25,14.116,0,0
3,2,4,28,10.616,0,0
3,2,5,39,9.166,0,0
3,2,6,42,6.883,0,0
3,2,7,47,15.149,0,0
3,2,8,56,6.433,0,0
3,2,9,59,15.099,0,1
3,2,10,67,2.933,0,0
3,2,11,69,12.416,0,1
3,2,12,70,7.750,0,0
4,3,0,8,10.716,0,0
4,3,1,22,11.900,0,0
4,3,2,23,22.366,0,0
4,3,3,24,13.783,0,0
4,3,4,27,13.633,0,0
4,3,5,30,23.332,0,0
4,3,6,38,15.250,0,0
4,3,7,51,8.883,0,0
4,3,8,63,12.050,0,1
4,3,9,64,12.433,0,0
4,3,10,66,7.316,0,0
4,3,11,68,6.066,0,1
4,3,12,71,9.333,0,0
5,4,0,15,15.399,0,0
5,4,1,17,20.349,1,0
5,4,2,19,11.300,0,0
5,4,3,45,8.816,1,0
5,4,4,52,13.433,0,0
5,4,5,57,17.199,1,1
6,5,0,14,17.066,0,0
6,5,1,36,10.133,0,1
6,5,2,40,15.083,0,0
6,5,3,46,13.083,0,0
6,5,4,48,13.866,0,0
6,5,5,53,15.783,0,0
6,5,6,60,11.466,0,0
7,6,0,9,15.049,0,1
7,6,1,37,16.483,0,0
7,6,2,41,30.115,0,0
7,6,3,43,11.333,0,0
7,6,4,50,22.649,0,0
7,6,5,58,14.699,0,0
7,6,6,61,39.465,0,1
8,7,0,2,15.883,0,0
