difficulty,index_1,index_2,chunk_id,partime,has_warpzone,has_pacifier
1,0,0,3,8.316,0,0
1,0,1,4,4.033,0,0
1,0,2,5,5.300,1,0
1,0,3,10,4.600,0,0
1,0,4,13,4.783,0,0
1,0,5,15,5.800,0,0
1,0,6,16,6.050,0,0
1,0,7,34,6.300,0,0
1,0,8,37,6.450,0,0
1,0,9,38,4.966,0,0
1,0,10,56,11.150,0,0
2,1,0,6,7.166,0,0
2,1,1,7,11.816,0,0
2,1,2,12,7.083,0,0
2,1,3,22,7.100,0,0
2,1,4,31,8.650,0,1
2,1,5,32,12.616,0,0
2,1,6,33,5.800,0,0
2,1,7,35,13.616,0,0
2,1,8,39,8.700,0,0
2,1,9,44,6.316,0,0
2,1,10,45,4.983,0,0
2,1,11,71,12.783,0,0
3,2,0,11,14.133,1,1
3,2,1,17,8.016,0,0
3,2,2,19,22.849,0,0
3,2,3,20,7.433,0,0
3,2,4,23,12.233,1,1
3,2,5,24,4.433,0,0
3,2,6,25,9.450,0,1
3,2,7,28,17.166,0,0
3,2,8,53,9.333,0,1
3,2,9,54,16.633,0,0
3,2,10,63,8.450,0,0
3,2,11,66,7.550,0,0
3,2,12,69,8.233,0,0
4,3,0,9,5.333,0,0
4,3,1,14,6.183,0,0
4,3,2,18,17.116,0,1
4,3,3,26,14.566,0,0
4,3,4,27,20.616,0,0
4,3,5,29,7.766,0,0
4,3,6,36,8.366,0,1
4,3,7,43,9.200,0,0
4,3,8,48,9.450,0,0
4,3,9,52,9.316,0,0
4,3,10,61,5.966,0,1
4,3,11,62,6.333,0,0
4,3,12,65,8.583,0,0
5,4,0,8,4.783,0,0
5,4,1,30,15.166,0,0
5,4,2,40,5.033,0,0
5,4,3,42,15.833,0,0
5,4,4,46,10.550,1,0
5,4,5,50,8.183,0,0
5,4,6,57,7.200,1,0
6,5,0,21,6.033,0,0
6,5,1,41,9.283,0,0
6,5,2,47,9.283,0,1
6,5,3,59,13.016,0,0
6,5,4,60,7.633,0,1
6,5,5,68,5.333,0,0
6,5,6,70,9.033,0,0
7,6,0,49,11.666,0,0
7,6,1,51,11.916,0,0
7,6,2,55,13.316,0,0
7,6,3,58,12.716,0,0
7,6,4,64,12.116,0,0
7,6,5,67,9.266,0,0
8,7,0,2,10.983,0,0
