difficulty,index_1,index_2,chunk_id,partime,has_warpzone,has_pacifier
1,0,0,3,6.500,0,0
1,0,1,6,6.266,0,0
1,0,2,9,9.416,0,0
1,0,3,10,5.283,0,0
1,0,4,12,4.350,0,0
1,0,5,13,13.766,0,0
1,0,6,14,6.221,0,0
1,0,7,18,7.233,0,0
1,0,8,19,11.833,0,0
1,0,9,20,4.850,0,0
1,0,10,27,4.250,0,0
1,0,11,29,13.949,0,1
1,0,12,30,11.583,1,0
2,1,0,4,5.183,0,0
2,1,1,5,5.766,0,0
2,1,2,11,13.583,0,0
2,1,3,16,15.383,0,0
2,1,4,17,9.766,0,0
2,1,5,24,6.383,0,0
2,1,6,26,11.841,0,0
2,1,7,31,15.466,1,0
2,1,8,34,7.333,0,0
2,1,9,35,7.816,0,0
2,1,10,36,10.516,0,0
2,1,11,59,5.600,0,0
2,1,12,72,14.649,0,0
3,2,0,8,12.183,0,0
3,2,1,15,11.166,0,0
3,2,2,23,15.899,0,0
3,2,3,25,11.900,0,0
3,2,4,28,13.399,0,0
3,2,5,32,9.258,0,0
3,2,6,33,9.766,0,0
3,2,7,43,11.966,0,0
3,2,8,56,12.283,0,0
3,2,9,60,11.187,1,0
3,2,10,62,6.850,0,0
3,2,11,67,10.116,1,1
3,2,12,71,6.783,0,1
4,3,0,7,8.450,0,0
4,3,1,21,11.150,0,1
4,3,2,39,11.516,0,0
4,3,3,41,11.816,0,1
4,3,4,46,8.975,0,0
4,3,5,47,8.550,0,0
4,3,6,54,6.550,0,0
4,3,7,57,13.033,0,0
4,3,8,63,15.916,0,1
4,3,9,64,14.499,0,0
4,3,10,70,15.266,0,1
4,3,11,73,7.308,0,0
4,3,12,74,11.850,0,0
5,4,0,38,8.420,0,0
5,4,1,40,11.733,0,0
5,4,2,42,8.208,0,1
5,4,3,48,12.966,0,0
5,4,4,65,9.437,0,0
5,4,5,69,16.199,0,0
6,5,0,37,14.466,0,0
6,5,1,52,16.033,0,1
6,5,2,55,7.133,0,0
6,5,3,58,9.500,0,0
6,5,4,61,14.549,0,0
6,5,5,66,14.216,0,0
6,5,6,75,10.483,0,0
7,6,0,22,10.233,0,0
7,6,1,44,15.649,0,1
7,6,2,45,18.533,0,0
7,6,3,49,14.158,0,0
7,6,4,50,20.599,1,0
7,6,5,51,25.266,0,0
7,6,6,53,10.400,0,0
7,6,7,68,18.866,0,0
8,7,0,2,6.716,0,0
