difficulty,index_1,index_2,chunk_id,partime,has_warpzone,has_pacifier
1,0,0,3,6.850,0,0
1,0,1,4,4.517,0,0
1,0,2,5,4.300,0,0
1,0,3,6,7.816,0,1
1,0,4,7,4.100,0,0
1,0,5,10,3.100,0,0
1,0,6,14,3.050,0,0
1,0,7,19,4.717,0,0
1,0,8,26,3.083,0,0
1,0,9,42,6.883,0,0
1,0,10,43,5.800,0,0
2,1,0,11,5.716,0,0
2,1,1,17,7.016,0,0
2,1,2,18,5.916,0,1
2,1,3,21,6.766,1,1
2,1,4,28,3.283,0,0
2,1,5,29,6.200,0,0
2,1,6,34,9.050,0,0
2,1,7,36,5.500,0,0
2,1,8,41,2.983,0,0
2,1,9,44,9.716,0,0
2,1,10,51,4.533,0,0
2,1,11,63,6.216,0,0
3,2,0,8,5.100,0,0
3,2,1,9,7.916,0,0
3,2,2,12,5.583,0,0
3,2,3,20,4.633,0,0
3,2,4,22,5.983,0,0
3,2,5,23,8.733,0,0
3,2,6,24,5.017,0,0
3,2,7,30,6.233,0,0
3,2,8,40,4.117,0,0
3,2,9,50,6.250,0,0
3,2,10,62,6.450,0,0
3,2,11,65,4.917,0,0
3,2,12,70,12.350,0,1
4,3,0,16,8.533,0,0
4,3,1,25,7.200,0,0
4,3,2,27,7.766,0,0
4,3,3,32,6.950,0,0
4,3,4,33,9.100,0,1
4,3,5,38,7.783,0,0
4,3,6,48,7.866,0,0
4,3,7,57,12.000,0,1
4,3,8,61,8.666,0,1
4,3,9,64,9.666,0,0
4,3,10,68,10.183,0,0
4,3,11,69,4.383,0,0
4,3,12,71,5.117,1,0
5,4,0,13,5.333,0,0
5,4,1,31,8.566,0,0
5,4,2,37,7.433,1,0
5,4,3,45,11.583,0,0
5,4,4,52,8.516,0,0
5,4,5,60,10.100,0,1
6,5,0,15,6.350,0,0
6,5,1,35,7.783,0,0
6,5,2,39,6.233,0,0
6,5,3,47,9.400,1,1
6,5,4,49,10.700,0,0
6,5,5,58,13.683,0,1
6,5,6,66,10.666,0,0
7,6,0,46,8.583,0,0
7,6,1,53,6.666,0,0
7,6,2,54,9.100,0,0
7,6,3,55,6.300,0,0
7,6,4,56,5.650,1,0
7,6,5,59,8.333,0,0
7,6,6,67,14.916,0,0
8,7,0,2,6.833,0,0
