difficulty,index_1,index_2,chunk_id,partime,has_warpzone,has_pacifier
1,0,0,7,4.683,0,0
1,0,1,9,6.916,0,0
1,0,2,10,5.666,0,0
1,0,3,11,10.016,0,0
1,0,4,16,13.966,0,0
1,0,5,33,7.400,0,0
1,0,6,40,3.783,0,0
1,0,7,49,6.083,0,0
1,0,8,51,4.416,0,0
1,0,9,53,7.116,0,0
1,0,10,65,3.767,0,0
1,0,11,80,10.216,0,0
1,0,12,91,6.566,0,0
1,0,13,92,11.700,0,0
1,0,14,93,8.333,0,0
1,0,15,95,15.983,0,0
2,1,0,2,14.766,0,1
2,1,1,8,4.633,0,0
2,1,2,12,8.383,1,1
2,1,3,17,5.833,0,0
2,1,4,19,9.383,0,0
2,1,5,34,6.883,0,1
2,1,6,38,5.183,0,0
2,1,7,39,7.133,0,0
2,1,8,41,12.000,0,0
2,1,9,42,7.550,0,0
2,1,10,44,7.916,0,0
2,1,11,45,7.166,0,0
2,1,12,46,9.883,0,0
2,1,13,54,7.900,0,0
2,1,14,72,9.050,0,0
2,1,15,76,7.133,0,0
2,1,16,82,9.333,0,0
3,2,0,4,11.783,0,1
3,2,1,5,10.000,0,0
3,2,2,13,7.833,0,0
3,2,3,14,6.883,0,0
3,2,4,15,10.266,0,0
3,2,5,24,9.716,0,1
3,2,6,26,11.450,0,0
3,2,7,27,6.550,0,1
3,2,8,29,6.716,0,0
3,2,9,48,9.333,1,1
3,2,10,71,10.600,0,0
3,2,11,79,8.133,0,0
3,2,12,84,6.883,0,0
3,2,13,85,12.516,0,0
3,2,14,86,8.066,0,0
3,2,15,89,15.233,0,0
3,2,16,100,8.366,0,0
4,3,0,6,9.116,0,0
4,3,1,18,5.683,0,0
4,3,2,21,13.233,0,0
4,3,3,22,7.133,0,0
4,3,4,25,10.066,0,1
4,3,5,28,11.500,0,0
4,3,6,31,12.083,1,0
4,3,7,36,9.216,0,0
4,3,8,47,6.650,0,0
4,3,9,56,4.783,0,0
4,3,10,59,11.450,0,0
4,3,11,64,11.416,0,0
4,3,12,74,16.533,0,0
4,3,13,77,8.383,0,0
4,3,14,78,7.716,0,0
4,3,15,88,6.250,0,0
4,3,16,90,6.750,0,0
4,3,17,96,13.916,0,0
4,3,18,98,19.066,0,0
5,4,0,20,12.833,1,0
5,4,1,23,10.516,0,0
5,4,2,43,6.900,0,0
5,4,3,50,6.416,0,0
5,4,4,55,8.750,0,0
5,4,5,58,8.950,0,0
5,4,6,70,7.200,0,0
5,4,7,81,9.216,0,0
5,4,8,99,18.133,0,0
5,4,9,101,15.749,0,0
6,5,0,30,10.416,0,0
6,5,1,32,11.300,0,1
6,5,2,37,10.816,0,0
6,5,3,52,7.033,0,0
6,5,4,60,13.816,0,0
6,5,5,63,14.333,0,0
6,5,6,67,8.733,0,0
6,5,7,75,11.050,0,0
6,5,8,83,11.033,0,0
6,5,9,94,10.666,0,0
7,6,0,35,10.616,0,1
7,6,1,57,8.516,1,0
7,6,2,61,10.633,0,0
7,6,3,62,11.633,0,0
7,6,4,66,11.916,0,0
7,6,5,68,15.299,0,0
7,6,6,69,10.266,0,0
7,6,7,73,13.399,0,0
7,6,8,87,16.533,0,0
7,6,9,97,14.333,0,0
8,7,0,3,10.416,0,0
